,,,,MSE,MAE
10,50,15,2,0.222574,0.773852
10,40,5,1,0.222686,0.773738
10,30,10,8,0.222756,0.773667
10,None,2,8,0.22303,0.773388
10,None,15,1,0.223362,0.773052
10,20,20,2,0.22353,0.77288
10,30,10,1,0.223549,0.772862
10,30,20,2,0.223805,0.772601
10,50,20,1,0.224052,0.772351
10,20,2,8,0.224081,0.772321
10,50,20,2,0.224961,0.771427
10,30,20,8,0.225014,0.771374
10,20,10,8,0.231209,0.765078
100,10,5,4,0.231991,0.764284
50,10,2,4,0.232157,0.764116
50,10,5,4,0.232446,0.763822
200,10,5,4,0.232485,0.763782
300,10,2,1,0.233057,0.763201
200,10,5,2,0.23318,0.763076
100,10,10,2,0.233208,0.763048
100,10,2,4,0.233225,0.76303
100,10,5,2,0.233273,0.762981
300,10,2,4,0.233348,0.762905
200,10,2,2,0.233448,0.762804
300,10,5,2,0.23345,0.762801
300,10,5,4,0.233452,0.7628
300,10,2,2,0.233637,0.762612
200,10,2,4,0.233834,0.762411
200,10,15,4,0.233971,0.762272
100,10,15,2,0.23406,0.762181
200,10,10,4,0.234125,0.762116
300,10,15,4,0.234153,0.762087
300,10,10,2,0.234302,0.761936
100,10,10,4,0.23441,0.761826
50,10,10,4,0.234512,0.761723
300,10,10,4,0.234651,0.761581
50,10,20,2,0.234687,0.761545
50,10,10,2,0.234734,0.761497
200,10,10,8,0.23493,0.761298
200,10,5,1,0.235117,0.761108
200,10,15,8,0.235163,0.761062
100,10,15,1,0.235168,0.761056
300,10,15,2,0.235333,0.760888
50,10,2,1,0.235374,0.760847
200,10,15,2,0.235563,0.760655
50,10,2,2,0.23557,0.760648
200,10,20,4,0.2356,0.760617
100,10,15,8,0.235621,0.760596
100,10,20,2,0.235736,0.760479
50,10,15,4,0.235861,0.760351
300,10,15,8,0.235866,0.760347
200,10,10,2,0.235886,0.760326
300,10,5,1,0.235929,0.760282
300,10,10,1,0.235953,0.760258
50,10,5,2,0.236122,0.760086
300,10,5,8,0.236168,0.76004
100,10,2,2,0.236257,0.759949
200,10,20,8,0.23626,0.759946
200,10,10,1,0.236429,0.759775
300,10,2,8,0.236449,0.759754
100,10,15,4,0.236452,0.759751
100,10,20,4,0.236745,0.759454
300,10,20,4,0.236928,0.759268
100,10,5,1,0.23723,0.758961
300,10,15,1,0.237335,0.758854
200,10,20,1,0.237349,0.75884
10,10,10,4,0.23743,0.758757
300,10,10,8,0.23745,0.758738
200,10,2,8,0.237452,0.758736
300,10,20,8,0.237525,0.758661
300,10,20,2,0.237531,0.758655
200,10,2,1,0.237572,0.758613
200,10,5,8,0.237601,0.758584
50,10,10,8,0.237607,0.758578
100,10,5,8,0.237643,0.758541
100,10,2,8,0.237813,0.758368
200,10,20,2,0.237831,0.75835
50,10,20,1,0.238071,0.758107
50,10,2,8,0.238145,0.758031
100,10,10,8,0.238254,0.75792
100,10,20,8,0.238267,0.757907
300,10,20,1,0.238432,0.757739
50,10,10,1,0.238549,0.757621
100,10,2,1,0.238844,0.757321
100,10,10,1,0.238933,0.75723
10,10,15,8,0.239028,0.757134
50,10,20,8,0.239198,0.756961
10,10,5,2,0.239446,0.756709
50,10,5,1,0.239457,0.756698
50,10,5,8,0.239616,0.756536
50,10,20,4,0.239821,0.756328
200,10,15,1,0.23996,0.756187
50,10,15,2,0.240005,0.756141
50,10,15,8,0.240518,0.75562
10,10,2,4,0.240799,0.755335
10,10,15,1,0.241349,0.754776
100,10,20,1,0.241439,0.754684
10,10,2,2,0.242202,0.753909
10,10,10,8,0.242588,0.753517
50,10,15,1,0.243049,0.753049
10,10,20,8,0.243689,0.752398
10,10,5,4,0.244093,0.751988
10,10,20,2,0.24443,0.751645
10,10,2,8,0.244633,0.751439
10,10,15,4,0.244641,0.751431
10,10,10,2,0.246019,0.750031
10,10,5,1,0.24682,0.749217
10,10,5,8,0.247924,0.748095
10,10,20,4,0.248179,0.747836
10,10,20,1,0.249479,0.746516
10,10,15,2,0.250417,0.745562
10,10,2,1,0.252138,0.743814
10,10,10,1,0.252717,0.743225
